City,Metro,County,SizeRank,Price
Bellingham,Boston-Cambridge-Newton,Norfolk County,3157,333700
Southbridge,Worcester,Worcester County,3187,211600
Swansea,Providence-Warwick,Bristol County,3203,296600
Hopkinton,Boston-Cambridge-Newton,Middlesex County,3222,630000
Auburn,Worcester,Worcester County,3224,278400
Northbridge,Worcester,Worcester County,3249,346800
Abington,Boston-Cambridge-Newton,Plymouth County,3255,398900
East Longmeadow,Springfield,Hampden County,3279,262500
Easthampton,Springfield,Hampshire County,3286,265900
Longmeadow,Springfield,Hampden County,3331,357200
Westport,Providence-Warwick,Bristol County,3343,400800
North Reading,Boston-Cambridge-Newton,Middlesex County,3346,562200
Westwood,Boston-Cambridge-Newton,Norfolk County,3417,739500
Scituate,Boston-Cambridge-Newton,Plymouth County,3446,581700
Fairhaven,Providence-Warwick,Bristol County,3497,303800
Northborough,Worcester,Worcester County,3510,455200
Whitman,Boston-Cambridge-Newton,Plymouth County,3528,345700
Belchertown,Springfield,Hampshire County,3532,281300
Bedford,Boston-Cambridge-Newton,Middlesex County,3550,708400
Seekonk,Providence-Warwick,Bristol County,3564,348500
Wilbraham,Springfield,Hampden County,3580,296300
Hanover,Boston-Cambridge-Newton,Plymouth County,3613,500200
East Bridgewater,Boston-Cambridge-Newton,Plymouth County,3637,403100
Duxbury,Boston-Cambridge-Newton,Plymouth County,3651,638700
Holliston,Boston-Cambridge-Newton,Middlesex County,3653,461000
Dennis,Barnstable Town,Barnstable County,3688,388900
Oxford,Worcester,Worcester County,3714,249200
Uxbridge,Worcester,Worcester County,3746,335400
Mashpee,Barnstable Town,Barnstable County,3750,436700
Clinton,Worcester,Worcester County,3751,281700
Wayland,Boston-Cambridge-Newton,Middlesex County,3757,742900
Marblehead,Boston-Cambridge-Newton,Essex County,3761,715700
Charlton,Worcester,Worcester County,3782,311100
Millbury,Worcester,Worcester County,3798,299500
North Adams,Pittsfield,Berkshire County,3817,134700
Medway,Boston-Cambridge-Newton,Norfolk County,3861,445000
Swampscott,Boston-Cambridge-Newton,Essex County,3912,572300
Ipswich,Boston-Cambridge-Newton,Essex County,3977,564300
Medfield,Boston-Cambridge-Newton,Norfolk County,3998,665900
Lynnfield,Boston-Cambridge-Newton,Essex County,4014,677800
Kingston,Boston-Cambridge-Newton,Plymouth County,4054,422000
Sandwich,Barnstable Town,Barnstable County,4084,388000
Tyngsboro,Boston-Cambridge-Newton,Middlesex County,4127,426700
Pepperell,Boston-Cambridge-Newton,Middlesex County,4150,359400
Rehoboth,Providence-Warwick,Bristol County,4154,423700
Weston,Boston-Cambridge-Newton,Middlesex County,4174,1530100
Spencer,Worcester,Worcester County,4186,250500
Athol,Worcester,Worcester County,4241,167300
Dudley,Worcester,Worcester County,4249,272400
